name	asciiname	longitude	latitude	countryCode	population
Curuzú Cuatiá	Curuzu Cuatia	-58.0546	-29.79171	AR	36390
Corrientes	Corrientes	-58.8341	-27.4806	AR	339067
Concordia	Concordia	-58.02089	-31.39296	AR	145210
Concepción del Uruguay	Concepcion del Uruguay	-58.23722	-32.48249	AR	67895
Concepción de la Sierra	Concepcion de la Sierra	-55.52031	-27.98311	AR	7398
Comandante Fontana	Comandante Fontana	-59.68212	-25.33453	AR	5655
Colonia Wanda	Colonia Wanda	-54.42806	-25.97408	AR	12779
Colonia Aurora	Colonia Aurora	-54.52498	-27.47428	AR	8407
Colegiales	Colegiales	-58.44924	-34.57365	AR	57000
Clorinda	Clorinda	-57.71851	-25.28481	AR	15000
Chajarí	Chajari	-57.97962	-30.75048	AR	30655
Cerro Azul	Cerro Azul	-55.4962	-27.6331	AR	5323
Capioví	Capiovi	-55.06084	-26.92998	AR	5860
Candelaria	Candelaria	-55.74536	-27.4595	AR	11039
Campo Viera	Campo Viera	-55.03333	-27.38333	AR	9228
Campo Ramón	Campo Ramon	-55.01901	-27.46108	AR	10088
Campo Grande	Campo Grande	-54.97977	-27.2077	AR	12040
Campana	Campana	-58.95914	-34.16874	AR	81612
Buenos Aires	Buenos Aires	-58.37723	-34.61315	AR	13076300
Bovril	Bovril	-59.44512	-31.34311	AR	7977
Bernardo de Irigoyen	Bernardo de Irigoyen	-53.64581	-26.2552	AR	10889
Barranqueras	Barranqueras	-58.93925	-27.48132	AR	50823
Azul	Azul	-59.85854	-36.77698	AR	53941
Avellaneda	Avellaneda	-59.65834	-29.11761	AR	23077
Aristóbulo del Valle	Aristobulo del Valle	-54.89626	-27.09625	AR	20683
Alvear	Alvear	-56.55043	-29.09683	AR	7917
Alba Posse	Alba Posse	-54.68262	-27.56978	AR	6652
Zapala	Zapala	-70.05442	-38.89916	AR	31534
Yuto	Yuto	-64.47194	-23.64342	AR	7732
Yerba Buena	Yerba Buena	-65.31667	-26.81667	AR	50783
Yacimiento Río Turbio	Yacimiento Rio Turbio	-72.3508	-51.57321	AR	6650
Villa Regina	Villa Regina	-67.06667	-39.1	AR	31209
Villa Paula de Sarmiento	Villa Paula de Sarmiento	-68.53838	-31.4933	AR	19092
Villa Ojo de Agua	Villa Ojo de Agua	-63.69377	-29.50003	AR	5832
Villa Nueva	Villa Nueva	-63.24763	-32.43293	AR	16841
